GEOID20,Tot_2020_acstot,Wh_2020_acstot,His_2020_acstot,BlC_2020_acstot,NatC_2020_acstot,AsnC_2020_acstot,PacC_2020_acstot,Tot_2020_cvap,Wh_2020_cvap,His_2020_cvap,BlC_2020_cvap,NatC_2020_cvap,AsnC_2020_cvap,PacC_2020_cvap,Tot_2020_tot,Wh_2020_tot,His_2020_tot,BlC_2020_tot,NatC_2020_tot,AsnC_2020_tot,PacC_2020_tot,Tot_2020_vap,Wh_2020_vap,His_2020_vap,BlC_2020_vap,NatC_2020_vap,AsnC_2020_vap,PacC_2020_vap,Tot_2020_nhvap,Wh_2020_nhvap,His_2020_nhvap,Bl_2020_nhvap,Asn_2020_nhvap,Nat_2020_nhvap,Pac_2020_nhvap,OthAl_2020_nhvap,Mix_2020_nhvap
4019000014,5416,2889,1611,618,171,384,31,3973,2413,1015,369,54,178,0,5811,3148,1727,262,176,531,25,4479,2582,1191,196,124,390,16,4479,2582,1191,151,338,33,5,29,150
4019000162,3337,1877,511,117,45,793,0,2375,1544,398,116,52,276,0,2530,1698,456,108,51,224,8,2140,1492,353,80,37,164,7,2140,1492,353,57,138,13,7,7,73
4019000149,2684,1942,593,60,26,56,0,2242,1797,355,34,30,44,0,3742,2425,888,193,102,187,8,3167,2163,672,131,81,150,7,3167,2163,672,88,110,18,5,12,99
4019000169,5236,4279,569,136,112,219,31,4210,3463,468,116,0,65,0,4964,3780,667,183,96,233,28,4098,3303,439,122,66,157,19,4098,3303,439,94,127,11,3,18,103
4019000186,405,254,121,7,7,22,5,336,227,90,4,0,14,0,361,236,100,5,4,15,1,301,216,66,4,2,10,0,301,216,66,1,9,0,0,2,7
4019000035,989,814,100,21,0,37,0,826,675,59,35,0,33,0,911,603,205,31,26,60,5,745,514,147,28,14,45,2,745,514,147,24,35,3,0,3,19
4019000134,3624,1970,1229,205,145,285,0,2783,1634,852,81,36,172,0,3542,1965,1258,108,118,177,13,2786,1648,900,60,89,123,7,2786,1648,900,42,104,12,1,17,62
4019000219,4108,2089,1360,184,271,515,0,3162,1803,892,58,142,214,0,4258,2397,1441,119,158,222,24,3348,1984,1042,81,118,164,23,3348,1984,1042,57,103,14,9,11,128
4025000057,106,66,36,0,3,0,0,94,61,20,0,2,0,0,90,76,7,1,2,2,3,87,76,5,1,1,1,1,87,76,5,0,1,0,0,0,5
4019000096,3592,1806,1298,315,182,122,87,2669,1622,741,75,50,87,0,3512,1995,1091,171,130,179,16,2909,1736,825,119,99,145,11,2909,1736,825,83,95,35,3,22,110
